Team,Position,Defensive duels per 90,Aerial duels per 90,"Aerial duels won, %",PAdj Interceptions,Non-penalty goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Distance,Club Fit %,League,League Strength,Adjusted Fit %,Avg Team Market Value,Final Fit %
Anderlecht,CF,2.32,5.005,39.379999999999995,1.945,0.38,0.45499999999999996,2.35,49.96,19.004,0.365,13.335,1.1400000000000001,42.855000000000004,7.6850000000000005,4.01,0.665,0.07,15.36,79.755,0.05500000000000001,0.09,0.245,1.23,0.77,53.36,0.8699999999999999,7.275406982848726,80.44,Belgium 1.,68.57,75.52045048,8500000.0,76.43574390742856
Angers SCO,CF,2.7733333333333334,4.833333333333333,28.52333333333333,1.1966666666666665,0.30333333333333334,0.37333333333333335,2.03,44.53,18.835333333333335,0.7233333333333333,37.85666666666666,1.97,54.70666666666667,6.63,2.956666666666667,1.02,0.22666666666666668,15.200000000000001,76.67,0.04,0.18666666666666668,0.043333333333333335,1.2633333333333334,0.8966666666666668,43.48333333333333,0.41333333333333333,10.565516517014736,59.44,France 1.,91.43,44.104479999999995,1933333.3333333333,45.873135999999995
Antwerp,CF,2.66,3.96,34.45,2.2750000000000004,0.215,0.32,1.9700000000000002,54.645,10.4465,0.5800000000000001,41.665,1.1949999999999998,31.64,8.595,2.935,0.56,0.09,20.46,79.03999999999999,0.07500000000000001,0.095,0.3,2.275,0.935,60.165,0.77,8.911822514247016,70.0,Belgium 1.,68.57,65.71894,6500000.0,73.86040085714286
Arsenal,CF,3.8899999999999997,5.53,27.645,4.19,0.385,0.425,2.075,41.239999999999995,18.606,1.175,31.36,2.665,56.535000000000004,8.155000000000001,4.64,1.345,0.33999999999999997,22.685,83.08,0.09,0.0,0.24,1.41,1.365,61.58,1.24,8.544395834997728,72.34,England 1.,100.0,53.67627999999999,67500000.0,52.57339599999999
Aston Villa,CF,3.06,4.91,36.965,1.875,0.635,0.55,3.1950000000000003,44.675,20.593,0.54,38.16,2.005,49.2,7.699999999999999,4.54,1.1199999999999999,0.125,14.47,78.21000000000001,0.055,0.03,0.205,1.5499999999999998,0.915,61.385,0.775,7.816678656944333,76.99,England 1.,100.0,57.12657999999999,42500000.0,54.98860599999999
Atalanta,CF,2.4,4.62,34.11,1.16,0.75,0.82,3.33,39.78,26.882,0.72,20.0,1.22,47.06,10.71,5.45,0.36,0.21,19.85,78.7,0.06,0.18,0.5,1.5,0.97,44.44,0.75,8.500745065332106,72.62,Italy 1.,97.14,53.884040000000006,23625000.0,52.718828
Atalanta,"CF, AMF, LWF",3.54,4.22,36.25,1.75,0.32,0.34,2.48,38.3,12.766,1.32,12.0,5.49,50.96,14.41,2.85,2.53,0.26,22.7,75.12,0.07,0.26,0.42,2.22,1.74,30.3,0.84,11.288599412013651,54.82,Italy 1.,97.14,40.676439999999985,23625000.0,43.47350799999999
Atalanta,"CF, LWF, AMF",3.79,1.21,50.0,1.77,0.53,0.49,2.92,42.86,19.481,3.18,42.86,7.05,53.76,13.5,6.44,4.09,0.49,31.92,78.62,0.3,0.08,0.57,1.86,3.37,65.17,2.5,14.42982996986703,34.77,Italy 1.,97.14,25.79934,23625000.0,33.059538
Atalanta,"CF, RWF, AMF",3.02,3.51,48.84,1.26,0.29,0.29,1.63,47.5,17.5,2.73,34.33,5.5,61.48,13.98,4.65,3.75,0.45,38.03,77.71,0.23,0.57,0.86,4.93,4.36,62.62,2.4,15.657687269925251,26.93,Italy 1.,97.14,19.982059999999997,23625000.0,28.987441999999998
Athletic Bilbao,CF,3.8099999999999996,5.18,32.455,2.38,0.215,0.345,2.09,35.415,9.6065,0.605,5.555,2.06,48.685,10.219999999999999,3.49,1.39,0.18,16.795,74.985,0.045,0.125,0.28,1.685,0.895,36.905,0.66,9.11295658195732,68.71,Spain 1.,94.29,50.98281999999999,11000000.0,50.68797399999999
Athletic Bilbao,"CF, RAMF, LAMF",6.44,3.47,25.0,1.94,0.12,0.15,1.73,21.43,7.143,1.98,25.0,5.08,51.22,10.28,2.1,3.09,0.5,15.35,68.55,0.07,0.0,0.25,0.99,1.73,50.0,0.5,14.012889853942784,37.43,Spain 1.,94.29,27.773059999999994,11000000.0,34.441142
Atlético Madrid,CF,2.44,5.390000000000001,50.465,2.075,0.61,0.5,2.7350000000000003,46.75,21.844,1.515,14.285,1.565,47.975,7.41,4.18,1.3399999999999999,0.18,29.195,78.49000000000001,0.10500000000000001,0.275,0.33499999999999996,3.29,2.46,55.44,1.275,8.138074335816974,74.94,Spain 1.,94.29,55.60547999999999,39500000.0,53.923835999999994
Atlético Madrid,"CF, LW",4.8,1.92,25.86,1.76,0.43,0.41,2.39,55.56,23.611,1.33,32.5,2.58,57.69,7.52,3.48,2.09,0.53,29.39,78.35,0.23,0.43,0.6,2.45,2.22,55.22,1.39,10.512714391527794,59.78,Spain 1.,94.29,44.356759999999994,39500000.0,46.04973199999999
Atlético Madrid,"CF, RW",5.82,1.31,14.29,2.5,0.38,0.6,3.19,38.24,11.765,2.63,39.29,4.22,55.56,10.7,6.38,1.78,0.38,26.0,77.98,0.16,0.19,0.56,2.44,2.72,55.17,1.5,11.311256573518284,54.68,Spain 1.,94.29,40.57255999999999,39500000.0,43.40079199999999
Augsburg,CF,2.2199999999999998,8.174999999999999,38.66,1.795,0.31999999999999995,0.30000000000000004,2.065,39.980000000000004,17.437,0.45499999999999996,26.785,2.135,44.165,10.075,3.6900000000000004,0.7,0.05,16.675,71.725,0.065,0.05,0.225,1.485,0.65,51.875,0.675,8.08428447648003,75.28,Germany 1.,94.29,55.85775999999999,4250000.0,57.314717714285706
Auxerre,CF,2.455,8.225,37.21,2.375,0.245,0.27,1.6400000000000001,48.0,16.0,0.5549999999999999,22.22,0.59,58.57,3.89,3.465,0.5549999999999999,0.125,14.32,75.38,0.055,0.12,0.185,0.9650000000000001,0.43,50.0,0.455,10.427675011737815,60.32,France 1.,91.43,44.757439999999995,1766666.6666666667,46.330208
Auxerre,"CF, LW",3.67,3.89,22.22,3.49,0.14,0.26,2.23,27.42,8.065,1.19,27.27,3.85,45.79,11.48,3.78,1.58,0.22,23.89,80.27,0.1,0.14,0.54,1.66,1.66,47.83,0.83,10.114742686959751,62.32,France 1.,91.43,46.24143999999999,1766666.6666666667,47.369007999999994
Barcelona,CF,1.96,2.74,39.77,2.59,0.75,0.79,3.27,43.81,25.714,0.34,18.18,1.09,45.71,6.64,5.11,0.59,0.06,16.26,77.59,0.09,0.19,0.25,1.4,0.93,40.0,0.93,7.355100090295097,79.94,Spain 1.,94.29,59.31548,15500000.0,56.520835999999996
