Team,Position,Defensive duels per 90,Aerial duels per 90,"Aerial duels won, %",PAdj Interceptions,Non-penalty goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Distance,Club Fit %,League,League Strength,Adjusted Fit %,Avg Team Market Value,Final Fit %
AVS ,CF,1.955,8.105,45.84,1.6549999999999998,0.22,0.33499999999999996,2.495,31.41,11.2395,0.33,33.33,1.145,34.260000000000005,7.65,2.5949999999999998,0.41500000000000004,0.0,15.19,77.815,0.09,0.075,0.35,1.595,0.63,56.25,0.635,6.060573819946254,81.5,Portugal 1.,71.43,77.54817053770283,116666.66666666667,74.79335348393255
AVS ,"CF, RWF",2.85,6.68,40.24,2.4,0.08,0.2,1.71,19.05,4.762,0.49,33.33,2.36,37.93,9.05,3.51,1.47,0.41,15.08,74.05,0.06,0.16,0.16,0.82,0.73,77.78,0.73,8.098099201948573,75.28,Portugal 1.,71.43,71.62977028316895,116666.66666666667,69.46679325485206
Aldosivi,CF,5.24,5.93,33.72,2.74,0.28,0.45,2.27,48.48,18.182,0.96,21.43,3.17,26.09,15.3,3.1,0.76,0.07,20.26,74.83,0.08,0.14,0.41,2.0,1.31,57.89,1.1,7.665261572467884,76.6,Argentina 1.,71.43,72.88576519249125,0.0,70.59718867324213
Angers SCO,CF,2.7733333333333334,4.833333333333333,28.52333333333333,1.1966666666666665,0.30333333333333334,0.37333333333333335,2.03,44.53,18.835333333333335,0.7233333333333333,37.85666666666666,1.97,54.70666666666667,6.63,2.956666666666667,1.02,0.22666666666666668,15.200000000000001,76.67,0.04,0.18666666666666668,0.043333333333333335,1.2633333333333334,0.8966666666666668,43.48333333333333,0.41333333333333333,7.513556339923916,77.06,France 1.,91.43,76.59252391557959,1933333.3333333333,73.93327152402163
Argentinos Juniors,CF,3.45,7.85,38.79,2.29,0.61,0.55,3.11,41.3,19.565,1.08,12.5,3.72,45.45,11.64,4.67,0.54,0.14,18.14,75.0,0.01,0.0,0.07,1.29,0.95,42.86,0.61,7.139255692553975,78.2,Argentina 1.,71.43,74.40818326439708,600000.0,71.96736493795737
Argentinos Juniors,"CF, AMF, RCMF",5.22,2.26,28.21,3.8,0.17,0.21,2.21,23.68,7.895,0.87,53.33,1.86,50.0,8.82,2.79,1.62,0.23,41.55,84.64,0.12,0.17,0.29,5.86,2.55,50.0,1.39,15.87693246629135,51.53,Argentina 1.,71.43,49.031377028316896,600000.0,49.12823932548521
Arouca,CF,4.25,5.013333333333333,35.193333333333335,2.1166666666666667,0.2733333333333334,0.4166666666666667,2.143333333333333,48.98666666666667,18.717,0.8933333333333332,26.86,1.8499999999999999,51.42666666666667,9.63,3.3699999999999997,1.1233333333333333,0.26,15.036666666666667,72.04666666666667,0.06333333333333334,0.11333333333333334,0.2833333333333334,1.39,1.0966666666666667,36.666666666666664,0.34,6.159587041454793,81.2,Portugal 1.,71.43,77.26271714922049,1583333.3333333333,74.53644543429844
Arsenal,CF,3.8899999999999997,5.53,27.645,4.19,0.385,0.425,2.075,41.239999999999995,18.606,1.175,31.36,2.665,56.535000000000004,8.155000000000001,4.64,1.345,0.33999999999999997,22.685,83.08,0.09,0.0,0.24,1.41,1.365,61.58,1.24,10.34044666136511,68.43,England 1.,100.0,65.3041176,67500000.0,63.77370584
Aston Villa,CF,3.06,4.91,36.965,1.875,0.635,0.55,3.1950000000000003,44.675,20.593,0.54,38.16,2.005,49.2,7.699999999999999,4.54,1.1199999999999999,0.125,14.47,78.21000000000001,0.055,0.03,0.205,1.5499999999999998,0.915,61.385,0.775,6.568717175678746,79.95,England 1.,100.0,76.29788400000001,42500000.0,73.66809560000002
Atalanta,CF,2.4,4.62,34.11,1.16,0.75,0.82,3.33,39.78,26.882,0.72,20.0,1.22,47.06,10.71,5.45,0.36,0.21,19.85,78.7,0.06,0.18,0.5,1.5,0.97,44.44,0.75,8.992495698280132,72.55,Italy 1.,97.14,70.90840332484886,23625000.0,68.81756299236397
Atalanta,"CF, AMF, LWF",3.54,4.22,36.25,1.75,0.32,0.34,2.48,38.3,12.766,1.32,12.0,5.49,50.96,14.41,2.85,2.53,0.26,22.7,75.12,0.07,0.26,0.42,2.22,1.74,30.3,0.84,11.019406166854525,66.36,Italy 1.,97.14,64.85846512249444,23625000.0,63.37261861024499
